species	sample_key	GTDB_214	sample	element_symbol	element_name	source
anginosus	NA	NA	SAMN14478484	lsa	Lsa family ABC-F type ribosomal protection protein	atb
anginosus	NA	NA	SAMN14478490	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN14478490	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN14478490	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN26876553	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN26876560	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN26876604	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN31407740	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN31407740	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN31407742	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMN31407742	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN31407746	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN31407746	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN31407746	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN34495011	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN34495011	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN34495011	tet(L)	tetracycline efflux MFS transporter Tet(L)	atb
anginosus	NA	NA	SAMN34495011	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN34495011	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN38159170	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN38159170	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN39507645	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN39507645	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMN39507646	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507646	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN39507646	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN39507646	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN39507648	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507649	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN39507649	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMN39507650	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507651	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN39507651	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507651	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMN39507652	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN39507652	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507652	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMN39507653	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507654	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507655	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507655	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN39507655	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN39507655	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
anginosus	NA	NA	SAMN39507655	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN39507656	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507656	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN39507656	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN39507657	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN39507657	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN39507657	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507658	lsa	Lsa family ABC-F type ribosomal protection protein	atb
anginosus	NA	NA	SAMN39507658	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMN39507658	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507659	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507659	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN39507659	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN39507660	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN39507660	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507661	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN39507661	tet(L)	tetracycline efflux MFS transporter Tet(L)	atb
anginosus	NA	NA	SAMN39507661	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN39507661	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN39507662	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507663	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN39507663	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN39507663	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507663	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN39507664	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507665	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507666	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507667	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN39507667	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMN39507668	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN39507668	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMN39507669	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507670	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507670	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN39507670	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN39507671	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN39507671	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN39507671	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507671	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
anginosus	NA	NA	SAMN39507671	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN39507674	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN39507674	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN39507674	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507675	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN39507675	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507676	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507677	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507679	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507680	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507681	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507682	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507683	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507684	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN39507684	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507685	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507686	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN39507686	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN39507686	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507686	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	atb
anginosus	NA	NA	SAMN39507686	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN39507688	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507689	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507690	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507690	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN39507691	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN39507691	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507692	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN39507692	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN39507692	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507692	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN39507693	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507694	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMN39507694	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507694	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN39507695	tet(L)	tetracycline efflux MFS transporter Tet(L)	atb
anginosus	NA	NA	SAMN39507695	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN39507695	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN39507695	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN39507696	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507696	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN39507697	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN39507697	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507698	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507699	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN39507699	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507700	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN39507700	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN39507700	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507701	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507702	tet(L)	tetracycline efflux MFS transporter Tet(L)	atb
anginosus	NA	NA	SAMN39507702	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN39507702	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN39507702	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN39507703	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507705	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507705	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN39507705	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN39507705	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN39507706	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN39507706	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN39507706	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507707	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507708	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507709	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN39507709	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMN39507710	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507710	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN39507710	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN39507711	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMN39507711	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507712	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN39507712	mef(A)	macrolide efflux MFS transporter Mef(A)	atb
anginosus	NA	NA	SAMN39507712	msr(D)	ABC-F type ribosomal protection protein Msr(D)	atb
anginosus	NA	NA	SAMN39507712	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507714	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507714	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	atb
anginosus	NA	NA	SAMN39507715	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507716	erm(T)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(T)	atb
anginosus	NA	NA	SAMN39507716	tet(L)	tetracycline efflux MFS transporter Tet(L)	atb
anginosus	NA	NA	SAMN39507716	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	atb
anginosus	NA	NA	SAMN39507717	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	atb
anginosus	NA	NA	SAMN39507717	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	atb
anginosus	NA	NA	SAMN39507718	erm(T)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(T)	atb
